barra,tension_kv,zona_geografica,contexto_topologico,tipo_contexto,rol_evidencia,resumen_contexto,estres_nodal,prioridad_operativa,prioridad_operativa_p90,ranking_estres_nodal,ranking_prioridad_operativa,score_revision,prioridad,robustez,dependencia_criterio,score_estabilidad,meses_top20_mensual,share_top20_mensual,zona_mensual,lectura_zona_mensual,soporte_evidencia,driver_principal,persistencia,meses_prioridad,meses_seguimiento,meses_score,cobertura_analitica,meses_fuente_coes,meses_observados,nota_cobertura,primer_mes,ultimo_mes,estado_publicacion,accion_recomendada,limite_interpretacion
TINTAYA NUEVA 220,220.0,Contexto geográfico pendiente de validación pública,TINTAYA,Subestación de transmisión,Subestación o activo oficial,"TINTAYA a 220.0 kV cuenta con contexto oficial de subestación de transmisión. La barra es apta para priorización porque la señal COES puede leerse junto con evidencia externa de subestación, conexión, central, industria o corredor.",70.58,62.58,89.51,19,13,72.62,Señal condicionada,Baja dependencia,Baja dependencia,96.29272305228814,18,0.5,Zona mensual recurrente,Aparece de forma recurrente en el Top 20 mensual; requiere seguimiento como caso persistente o estructural dentro del screening.,A,Nivel de precio,Recurrente,8,18,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
BELAUNDE 138,138.0,Contexto geográfico pendiente de validación pública,LT BELAUNDE TERRY - MOYOBAMBA,línea/corredor de transmisión,Subestación o activo oficial,"LT BELAUNDE TERRY - MOYOBAMBA a 138.0 kV cuenta con contexto oficial de línea/corredor de transmisión. La barra es apta para priorización porque la señal COES puede leerse junto con evidencia externa de subestación, conexión, central, industria o corredor.",70.1,62.58,89.21,21,12,72.49,Señal condicionada,Baja dependencia,Baja dependencia,96.3523668519004,14,0.389,Zona mensual frecuente,"Aparece con frecuencia en la zona ejecutiva mensual; conviene revisar recurrencia, contrato y contexto industrial.",A,Nivel de precio,Persistente,9,18,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
PIURA OESTE 220,220.0,Contexto geográfico pendiente de validación pública,PIURA OESTE,Subestación de transmisión,Subestación o activo oficial,"PIURA OESTE a 220.0 kV cuenta con contexto oficial de subestación de transmisión. La barra es apta para priorización porque la señal COES puede leerse junto con evidencia externa de subestación, conexión, central, industria o corredor.",72.85,62.81,90.25,10,10,72.26,Señal condicionada,Baja dependencia,Baja dependencia,97.61963981289396,21,0.583,Zona mensual recurrente,Aparece de forma recurrente en el Top 20 mensual; requiere seguimiento como caso persistente o estructural dentro del screening.,A,Nivel de precio,Persistente,10,17,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
JULIACA10,10.0,Contexto geográfico pendiente de validación pública,JULIACA,Subestación de transmisión,Subestación o activo oficial,"JULIACA a 10.0 kV cuenta con contexto oficial de subestación de transmisión. La barra es apta para priorización porque la señal COES puede leerse junto con evidencia externa de subestación, conexión, central, industria o corredor.",69.85,62.41,90.17,22,15,72.21,Señal condicionada,Baja dependencia,Baja dependencia,95.60803058155788,17,0.472,Zona mensual frecuente,"Aparece con frecuencia en la zona ejecutiva mensual; conviene revisar recurrencia, contrato y contexto industrial.",A,Nivel de precio,Persistente,9,17,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
GALLITO CIEGO 60,60.0,Contexto geográfico pendiente de validación pública,GALLITO CIEGO,Subestación de transmisión,Subestación o activo oficial,"GALLITO CIEGO a 60.0 kV cuenta con contexto oficial de subestación de transmisión. La barra es apta para priorización porque la señal COES puede leerse junto con evidencia externa de subestación, conexión, central, industria o corredor.",70.89,62.51,88.81,17,14,72.18,Señal condicionada,Baja dependencia,Baja dependencia,96.74064723433062,20,0.556,Zona mensual recurrente,Aparece de forma recurrente en el Top 20 mensual; requiere seguimiento como caso persistente o estructural dentro del screening.,A,Nivel de precio,Persistente,9,18,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
TALARA 220,220.0,Contexto geográfico pendiente de validación pública,TALARA,Subestación de transmisión,Alias COES cerrado con evidencia,TALARA a 220.0 kV conserva una convención de nombre COES o alias ya cerrada para uso de screening. La lectura útil es comparar la señal de precio con el activo o conexión que explica su relevancia actual.,72.93,62.7,90.63,9,11,72.12,Señal condicionada,Baja dependencia,Baja dependencia,97.2760417419599,19,0.528,Zona mensual recurrente,Aparece de forma recurrente en el Top 20 mensual; requiere seguimiento como caso persistente o estructural dentro del screening.,A,Nivel de precio,Persistente,10,17,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
TALARA13.2,13.2,Contexto geográfico pendiente de validación pública,TALARA,Subestación de transmisión,Alias COES cerrado con evidencia,TALARA a 13.2 kV conserva una convención de nombre COES o alias ya cerrada para uso de screening. La lectura útil es comparar la señal de precio con el activo o conexión que explica su relevancia actual.,72.37,62.28,91.06,12,16,72.07,Señal condicionada,Baja dependencia,Baja dependencia,96.33018125250511,19,0.528,Zona mensual recurrente,Aparece de forma recurrente en el Top 20 mensual; requiere seguimiento como caso persistente o estructural dentro del screening.,A,Nivel de precio,Persistente,9,17,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
TOCACHE 138,138.0,Contexto geográfico pendiente de validación pública,TOCACHE,Subestación de transmisión,Subestación o activo oficial,"TOCACHE a 138.0 kV cuenta con contexto oficial de subestación de transmisión. La barra es apta para priorización porque la señal COES puede leerse junto con evidencia externa de subestación, conexión, central, industria o corredor.",68.82,61.9,86.36,23,18,71.86,Señal condicionada,Baja dependencia,Baja dependencia,95.1547226403764,12,0.333,Zona mensual frecuente,"Aparece con frecuencia en la zona ejecutiva mensual; conviene revisar recurrencia, contrato y contexto industrial.",A,Nivel de precio,Persistente,9,18,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
PUERTO MALDONADO 138,138.0,Contexto geográfico pendiente de validación pública,PUERTO MALDONADO,Subestación de transmisión,Alias COES cerrado con evidencia,PUERTO MALDONADO a 138.0 kV conserva una convención de nombre COES o alias ya cerrada para uso de screening. La lectura útil es comparar la señal de precio con el activo o conexión que explica su relevancia actual.,66.19,60.66,89.7,39,25,71.26,Señal condicionada,Baja dependencia,Baja dependencia,92.16832860256086,17,0.472,Zona mensual frecuente,"Aparece con frecuencia en la zona ejecutiva mensual; conviene revisar recurrencia, contrato y contexto industrial.",A,Nivel de precio,Persistente,9,16,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
PUERTO MALDONADO 10,10.0,Contexto geográfico pendiente de validación pública,PUERTO MALDONADO,Subestación de transmisión,Alias COES cerrado con evidencia,PUERTO MALDONADO a 10.0 kV conserva una convención de nombre COES o alias ya cerrada para uso de screening. La lectura útil es comparar la señal de precio con el activo o conexión que explica su relevancia actual.,66.55,60.85,90.84,37,21,71.19,Señal condicionada,Baja dependencia,Baja dependencia,92.19698053261295,18,0.5,Zona mensual recurrente,Aparece de forma recurrente en el Top 20 mensual; requiere seguimiento como caso persistente o estructural dentro del screening.,A,Nivel de precio,Persistente,9,16,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
CALLALLI 138,138.0,Contexto geográfico pendiente de validación pública,CALLALLI,Subestación de transmisión,Subestación o activo oficial,"CALLALLI a 138.0 kV cuenta con contexto oficial de subestación de transmisión. La barra es apta para priorización porque la señal COES puede leerse junto con evidencia externa de subestación, conexión, central, industria o corredor.",68.68,61.35,89.24,24,20,71.13,Señal condicionada,Baja dependencia,Baja dependencia,94.2295778296135,12,0.333,Zona mensual frecuente,"Aparece con frecuencia en la zona ejecutiva mensual; conviene revisar recurrencia, contrato y contexto industrial.",A,Nivel de precio,Recurrente,8,16,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
JULIACA 138,138.0,Contexto geográfico pendiente de validación pública,JULIACA,Subestación de transmisión,Alias COES cerrado con evidencia,JULIACA a 138.0 kV conserva una convención de nombre COES o alias ya cerrada para uso de screening. La lectura útil es comparar la señal de precio con el activo o conexión que explica su relevancia actual.,68.5,61.42,88.82,25,19,70.84,Señal condicionada,Baja dependencia,Baja dependencia,94.5556009484448,14,0.389,Zona mensual frecuente,"Aparece con frecuencia en la zona ejecutiva mensual; conviene revisar recurrencia, contrato y contexto industrial.",A,Nivel de precio,Persistente,9,16,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
AYAVIRI 138,138.0,Contexto geográfico pendiente de validación pública,AYAVIRI,Subestación de transmisión,Subestación o activo oficial,"AYAVIRI a 138.0 kV cuenta con contexto oficial de subestación de transmisión. La barra es apta para priorización porque la señal COES puede leerse junto con evidencia externa de subestación, conexión, central, industria o corredor.",67.86,60.77,89.24,28,22,70.32,Señal condicionada,Baja dependencia,Baja dependencia,93.397512184738,13,0.361,Zona mensual frecuente,"Aparece con frecuencia en la zona ejecutiva mensual; conviene revisar recurrencia, contrato y contexto industrial.",A,Nivel de precio,Recurrente,8,15,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
PUNO 138,138.0,Contexto geográfico pendiente de validación pública,PUNO,Subestación de transmisión,Alias COES cerrado con evidencia,PUNO a 138.0 kV conserva una convención de nombre COES o alias ya cerrada para uso de screening. La lectura útil es comparar la señal de precio con el activo o conexión que explica su relevancia actual.,67.56,60.73,86.91,29,24,70.01,Señal condicionada,Baja dependencia,Baja dependencia,93.6463538368314,13,0.361,Zona mensual frecuente,"Aparece con frecuencia en la zona ejecutiva mensual; conviene revisar recurrencia, contrato y contexto industrial.",A,Nivel de precio,Recurrente,8,16,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
MOLLENDO 138,138.0,Contexto geográfico pendiente de validación pública,MOLLENDO,Subestación de transmisión,Subestación o activo oficial,"MOLLENDO a 138.0 kV cuenta con contexto oficial de subestación de transmisión. La barra es apta para priorización porque la señal COES puede leerse junto con evidencia externa de subestación, conexión, central, industria o corredor.",65.57,59.88,86.48,43,31,69.89,Señal condicionada,Baja dependencia,Baja dependencia,90.9349879548079,8,0.222,Zona mensual frecuente,"Aparece con frecuencia en la zona ejecutiva mensual; conviene revisar recurrencia, contrato y contexto industrial.",A,Nivel de precio,Recurrente,7,17,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
ILO1 138,138.0,Contexto geográfico pendiente de validación pública,ILO 1,Subestación de transmisión,Subestación o activo oficial,"ILO 1 a 138.0 kV cuenta con contexto oficial de subestación de transmisión. La barra es apta para priorización porque la señal COES puede leerse junto con evidencia externa de subestación, conexión, central, industria o corredor.",67.41,60.49,85.95,30,27,69.49,Señal condicionada,Baja dependencia,Baja dependencia,93.74842767554694,9,0.25,Zona mensual frecuente,"Aparece con frecuencia en la zona ejecutiva mensual; conviene revisar recurrencia, contrato y contexto industrial.",A,Nivel de precio,Recurrente,8,16,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
